Pasta, homemade, made with egg, cooked;74;0.99;3.01;13.42;
Pasta, whole-wheat, cooked;159;1.83;6.41;32.17;
Pasta, cooked, enriched, with added salt;182;1.08;6.73;35.48;
PREGO Pasta, Mushroom , ready-to-serve;130;3.50;3.00;22.00;
KASHI, Chicken Pasta Pomodoro;283;6.51;19.81;36.79;
PREGO Pasta, ready-to-serve;90;3.00;2.00;13.00;
Pasta, gluten-free, corn flour ;169;2.30;3.59;34.53;
PREGO Pasta, Traditional Italian Sauce;70;1.50;2.00;13.00;
Restaurant, Italian, chicken ;614;32.03;48.67;32.87;
Sauce, pasta, spaghetti marinara;66;2.13;1.83;9.81;
Spaghetti, spinach, cooked;182;0.88;6.41;36.61;
BURGER KING, Cheeseburger;380;19.70;19.38;31.53;
BURGER KING, Double Cheeseburger;457;26.13;27.26;28.24;
MORNINGSTAR FARMS California Turkey;99;4.93;9.54;8.06;
MORNINGSTAR FARMS Grillers Burger;68;2.15;9.25;4.15;
BURGER KING, WHOPPER, no cheese;678;37.36;31.25;53.98;
CRACKER BARREL, steak fries;505;26.10;6.45;61.12;
Shortening frying;1812;205.00;0.00;0.00;